,P,MR,Cv,Cp,T,R
86,4673469.387755102,0.37551020408163266,8546.327315519564,10761.218817883637,1067.1229982286964,525.4884601694257
87,4775510.204081632,0.37551020408163266,8518.464841509238,10725.210948198102,1068.3240808362395,524.8941445896137
88,4877551.020408163,0.37551020408163266,8491.23973465804,10690.013655606657,1069.5004532943171,524.3132588432874
89,4979591.8367346935,0.37551020408163266,8464.625283047557,10655.593321449123,1070.6531110905253,523.7452342185275
90,5081632.653061224,0.37551020408163266,8438.594978463836,10621.916744851507,1071.7829922471706,523.1895374372488
91,5183673.469387755,0.37551020408163266,8413.125412985682,10588.954407207668,1072.890978278434,522.6456667188608
92,5285714.285714285,0.37551020408163266,8388.194816239178,10556.678824371193,1073.9779010647608,522.1131505119399
93,5387755.102040816,0.37551020408163266,8363.782161662355,10525.063493674155,1075.0445454939897,521.591544389379
94,5489795.918367347,0.37551020408163266,8339.86880204361,10494.084749856032,1076.0916531498003,521.0804289434029
95,5591836.734693877,0.37551020408163266,8316.43309422303,10463.715650181752,1077.1199254572919,520.5794090512916
96,5693877.551020408,0.37551020408163266,8293.459392366,10433.936189291533,1078.1300265194286,520.0881103244704
97,5795918.367346939,0.37551020408163266,8270.931037481874,10404.725319029763,1079.1225857948182,519.6061790179065
98,5897959.183673469,0.37551020408163266,8248.831786990166,10376.062531362288,1080.098200471333,519.1332796673455
99,6000000.0,0.37551020408163266,8227.145844445564,10347.928001519293,1081.0574372109352,518.6690949984633
100,1000000.0,0.4510204081632653,10603.833328717388,13464.545990519691,1008.406149031077,565.6834296656095
101,1102040.8163265307,0.4510204081632653,10477.581849487498,13307.8694254742,1013.6628400000071,562.9518947854996
102,1204081.6326530613,0.4510204081632653,10362.17352583306,13164.20508982148,1018.4842542541128,560.4634863720585
103,1306122.448979592,0.4510204081632653,10255.930854021572,13031.58594982326,1022.9385626840326,558.1790866875517
104,1408163.2653061224,0.4510204081632653,10157.538662390783,12908.462144562043,1027.0789305591206,556.0683060644551
105,1510204.081632653,0.4510204081632653,10065.94243505504,12793.585587316193,1030.9476422490677,554.1070646743642
106,1612244.8979591837,0.4510204081632653,9980.29430136783,12685.94862148026,1034.578896514691,552.2759579541531
107,1714285.714285714,0.4510204081632653,9899.888134342153,12584.709318173584,1038.0007539962046,550.5591199114359
108,1816326.5306122447,0.4510204081632653,9824.13837708719,12489.167187694926,1041.2365312426666,548.9434118863949
109,1918367.3469387754,0.4510204081632653,9752.55166705884,12398.730306298006,1044.3058184337108,547.4178315192482
110,2020408.163265306,0.4510204081632653,9684.709065243136,12312.894680075813,1047.2252372717942,545.9730735055956
111,2122448.9795918367,0.4510204081632653,9620.25162552204,12231.227419337723,1050.0090147747223,544.6011977138547
112,2224489.7959183673,0.4510204081632653,9558.869212808087,12153.353637347464,1052.6694254773345,543.2953753079663
113,2326530.612244898,0.4510204081632653,9500.292393598706,12078.946934939828,1055.217133466843,542.0496899250315
